YearId,Year,Id,From,To,HowManyDays,HowManyWeeks
2000-1,2000,1,2000-01-03,2000-05-26,145,21
2000-2,2000,2,2000-05-30,2000-06-30,32,5
2000-3,2000,3,2000-07-10,2000-09-01,54,8
2000-4,2000,4,2000-09-05,2000-11-17,74,11
2000-5,2000,5,2000-11-27,2000-12-22,26,4
2001-1,2001,1,2001-01-02,2001-05-25,144,21
2001-2,2001,2,2001-05-29,2001-06-29,32,5
2001-3,2001,3,2001-07-09,2001-08-31,54,8
2001-4,2001,4,2001-09-04,2001-11-16,74,11
2001-5,2001,5,2001-11-26,2001-12-21,26,4
2002-1,2002,1,2002-01-07,2002-05-24,138,20
2002-2,2002,2,2002-05-28,2002-06-28,32,5
2002-3,2002,3,2002-07-08,2002-08-30,54,8
2002-4,2002,4,2002-09-03,2002-11-22,81,12
2002-5,2002,5,2002-12-02,2002-12-20,19,3
2003-1,2003,1,2003-01-06,2003-05-23,138,20
2003-2,2003,2,2003-05-27,2003-06-27,32,5
2003-3,2003,3,2003-07-07,2003-08-29,54,8
2003-4,2003,4,2003-09-02,2003-11-21,81,12
2003-5,2003,5,2003-12-01,2003-12-19,19,3
2004-1,2004,1,2004-01-05,2004-05-28,145,21
2004-2,2004,2,2004-06-01,2004-07-02,32,5
2004-3,2004,3,2004-07-12,2004-09-03,54,8
2004-4,2004,4,2004-09-07,2004-11-19,74,11
2004-5,2004,5,2004-11-29,2004-12-17,19,3
2005-1,2005,1,2005-01-03,2005-05-27,145,21
2005-2,2005,2,2005-05-31,2005-07-01,32,5
2005-3,2005,3,2005-07-11,2005-09-02,54,8
2005-4,2005,4,2005-09-06,2005-11-18,74,11
2005-5,2005,5,2005-11-28,2005-12-23,26,4
2006-1,2006,1,2006-01-03,2006-05-26,144,21
2006-2,2006,2,2006-05-30,2006-06-30,32,5
2006-3,2006,3,2006-07-10,2006-09-01,54,8
2006-4,2006,4,2006-09-05,2006-11-17,74,11
2006-5,2006,5,2006-11-27,2006-12-22,26,4
2007-1,2007,1,2007-01-02,2007-05-25,144,21
2007-2,2007,2,2007-05-29,2007-06-29,32,5
2007-3,2007,3,2007-07-09,2007-08-31,54,8
2007-4,2007,4,2007-09-04,2007-11-16,74,11
2007-5,2007,5,2007-11-26,2007-12-21,26,4
2008-1,2008,1,2008-01-07,2008-05-23,138,20
2008-2,2008,2,2008-05-27,2008-06-27,32,5
2008-3,2008,3,2008-07-07,2008-08-29,54,8
2008-4,2008,4,2008-09-02,2008-11-21,81,12
2008-5,2008,5,2008-12-01,2008-12-19,19,3
2009-1,2009,1,2009-01-05,2009-05-22,138,20
2009-2,2009,2,2009-05-26,2009-06-26,32,5
2009-3,2009,3,2009-07-06,2009-09-04,61,9
2009-4,2009,4,2009-09-08,2009-11-20,74,11
2009-5,2009,5,2009-11-30,2009-12-18,19,3
2010-1,2010,1,2010-01-04,2010-05-28,145,21
2010-2,2010,2,2010-06-01,2010-07-02,32,5
2010-3,2010,3,2010-07-12,2010-09-03,54,8
2010-4,2010,4,2010-09-07,2010-11-19,74,11
2010-5,2010,5,2010-11-29,2010-12-17,19,3
2011-1,2011,1,2011-01-03,2011-05-27,145,21
2011-2,2011,2,2011-05-31,2011-07-01,32,5
2011-3,2011,3,2011-07-11,2011-09-02,54,8
2011-4,2011,4,2011-09-06,2011-11-18,74,11
2011-5,2011,5,2011-11-28,2011-12-23,26,4
2012-1,2012,1,2012-01-03,2012-05-25,144,21
2012-2,2012,2,2012-05-29,2012-06-29,32,5
2012-3,2012,3,2012-07-09,2012-08-31,54,8
2012-4,2012,4,2012-09-04,2012-11-16,74,11
2012-5,2012,5,2012-11-26,2012-12-21,26,4
2013-1,2013,1,2013-01-07,2013-05-24,138,20
2013-2,2013,2,2013-05-28,2013-06-28,32,5
2013-3,2013,3,2013-07-08,2013-08-30,54,8
2013-4,2013,4,2013-09-03,2013-11-22,81,12
2013-5,2013,5,2013-12-02,2013-12-20,19,3
2014-1,2014,1,2014-01-06,2014-05-23,138,20
2014-2,2014,2,2014-05-27,2014-06-27,32,5
2014-3,2014,3,2014-07-07,2014-08-29,54,8
2014-4,2014,4,2014-09-02,2014-11-21,81,12
2014-5,2014,5,2014-12-01,2014-12-19,19,3
2015-1,2015,1,2015-01-05,2015-05-22,138,20
2015-2,2015,2,2015-05-26,2015-06-26,32,5
2015-3,2015,3,2015-07-06,2015-09-04,61,9
2015-4,2015,4,2015-09-08,2015-11-20,74,11
2015-5,2015,5,2015-11-30,2015-12-18,19,3
2016-1,2016,1,2016-01-04,2016-05-27,145,21
2016-2,2016,2,2016-05-31,2016-07-01,32,5
2016-3,2016,3,2016-07-11,2016-09-02,54,8
2016-4,2016,4,2016-09-06,2016-11-18,74,11
2016-5,2016,5,2016-11-28,2016-12-23,26,4
2017-1,2017,1,2017-01-03,2017-05-26,144,21
2017-2,2017,2,2017-05-30,2017-06-30,32,5
2017-3,2017,3,2017-07-10,2017-09-01,54,8
2017-4,2017,4,2017-09-05,2017-11-17,74,11
2017-5,2017,5,2017-11-27,2017-12-22,26,4
2018-1,2018,1,2018-01-02,2018-05-25,144,21
2018-2,2018,2,2018-05-29,2018-06-29,32,5
2018-3,2018,3,2018-07-09,2018-08-31,54,8
2018-4,2018,4,2018-09-04,2018-11-16,74,11
2018-5,2018,5,2018-11-26,2018-12-21,26,4
2019-1,2019,1,2019-01-07,2019-05-24,138,20
2019-2,2019,2,2019-05-28,2019-06-28,32,5
2019-3,2019,3,2019-07-08,2019-08-30,54,8
2019-4,2019,4,2019-09-03,2019-11-22,81,12
2019-5,2019,5,2019-12-02,2019-12-20,19,3
2020-1,2020,1,2020-01-06,2020-05-22,138,20
2020-2,2020,2,2020-05-26,2020-06-26,32,5
2020-3,2020,3,2020-07-06,2020-09-04,61,9
2020-4,2020,4,2020-09-08,2020-11-20,74,11
2020-5,2020,5,2020-11-30,2020-12-18,19,3
2021-1,2021,1,2021-01-04,2021-05-28,145,21
2021-2,2021,2,2021-06-01,2021-07-02,32,5
2021-3,2021,3,2021-07-12,2021-09-03,54,8
2021-4,2021,4,2021-09-07,2021-11-19,74,11
2021-5,2021,5,2021-11-29,2021-12-17,19,3
2022-1,2022,1,2022-01-03,2022-05-27,145,21
2022-2,2022,2,2022-05-31,2022-07-01,32,5
2022-3,2022,3,2022-07-11,2022-09-02,54,8
2022-4,2022,4,2022-09-06,2022-11-18,74,11
2022-5,2022,5,2022-11-28,2022-12-23,26,4
2023-1,2023,1,2023-01-03,2023-05-26,144,21
2023-2,2023,2,2023-05-30,2023-06-30,32,5
2023-3,2023,3,2023-07-10,2023-09-01,54,8
2023-4,2023,4,2023-09-05,2023-11-17,74,11
2023-5,2023,5,2023-11-27,2023-12-22,26,4
2024-1,2024,1,2024-01-02,2024-05-24,144,21
2024-2,2024,2,2024-05-28,2024-06-28,32,5
2024-3,2024,3,2024-07-08,2024-08-30,54,8
2024-4,2024,4,2024-09-03,2024-11-22,81,12
2024-5,2024,5,2024-12-02,2024-12-20,19,3
